Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,110,30,1,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 62,2
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,0,123,15,1,SOUTHGATE,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 63,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,1,350,47,2,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 28,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,4,225,22,1,FOREST HEIGHTS,837500.0,90,53.55056740256592,-113.4548124,Bonnie Doon Stake 64,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,1,2,650,48,2,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 17,3
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,140,30,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 79,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,1,145,26,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 80,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,0,210,18,1,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 81,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,60,16,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 65,2
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,1,150,22,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 66,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,0,9,9,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 67,2
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,0,167,25,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 29,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,4,190,20,2,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 82,0
